"","Dam_Code","Lon","Lat","longitude","latitude"
"1","D_ANDO",128.773934,36.584834,358762.568116232,444405.528304032
"2","D_IMHA",128.883311,36.537697,368655.002710345,439360.222808975
"3","D_SUDK",128.963966,36.241249,376548.011266743,406603.174073052
"4","D_YENJ",128.656003,36.722126,347944.17464745,459454.46281656
"5","D_GNWE",128.7938,36.120653,361497.023360944,392922.860563948
"6","D_GMBH",128.0038,35.980823,290529.664258221,376382.733804077
"7","D_YEOC",129.014133,36.063696,381467.083807493,386990.438528892
"8","D_HAPC",128.03179,35.533875,293576.014862715,326815.613522832
"9","D_NAMG",128.035461,35.162367,294339.983723818,285599.174989706
"10","D_MIRY",128.933922,35.482995,375511.502342134,322400.502305823
