"","Site Code","Lon","Lat","longitude","latitude"
"1","HM1",129.0172222,37.09583333,379340.913364613,501553.020038369
"2","HM2",129.0566667,36.93027778,383245.398314543,483251.964202981
"3","HM3",128.8888889,36.84611111,368480.036192429,473600.676949167
"4","HT_BB1",129.085,36.59722222,386575.663841592,446339.566431483
"5","HT_BB2",128.9591667,36.36611111,375835.873646489,420452.159490353
"6","HT_BB3",128.9108333,36.43166667,371353.406146344,427640.921897089
"7","HM4",128.4625,36.54027778,330963.268016506,438991.329191005
"8","HT_NS1",128.5997222,36.71638889,342926.404207003,458732.283623382
"9","HT_NS2",128.4877778,36.61944444,333090.990425793,447812.010368902
"10","HT_NS3",128.3194444,36.58611111,318082.499797242,443892.61490613
"11","HT_YG1",128.2166667,36.58944444,308879.397302227,444141.18056185
"12","HM5",128.2686111,36.49861111,313661.035687715,434120.867851164
"13","HT_BS1",128.1877778,36.42027778,306525.577638506,425335.498523225
"14","HM6",128.2444444,36.40972222,311623.046845338,424228.155253064
"15","HT_WE1",128.4883333,36.335,333628.291313751,416245.435736834
"16","HT_WE2",128.3980556,36.35805556,325485.304297316,418683.032646083
"17","HM7",128.3011111,36.3575,316784.219847581,418499.844390939
"18","HT_GM1",128.1930556,36.16361111,307350.036312444,396858.604380469
"19","HT_GM2",128.3088889,36.22777778,317677.060678795,404113.585448186
"20","HM8",128.3966667,36.11083333,325756.015474471,391246.14458908
"21","HM9",128.3944444,36.00027778,325731.679165514,378974.898142791
"22","HM10",128.3902778,35.88083333,325544.780756854,365715.000855879
"23","HT_KH1",128.7144444,35.86166667,354857.455683273,364053.033319396
"24","HT_KH2",128.4716667,35.85333333,332940.787339607,362770.990578453
"25","HM11",128.3869444,35.75277778,325445.080867652,351500.919056027
"26","HM12",128.4341667,35.70277778,329797.593904489,346014.117832544
"27","HT_HO1",128.3372222,35.67888889,321059.313523562,343239.469859285
"28","HM13",128.3583333,35.61222222,323072.848006652,335868.194703454
"29","HT_HG1",128.2927778,35.57194444,317191.505610711,331318.909825208
"30","HM14",128.3591667,35.5275,323278.110155023,326468.356100322
"31","HT_NG1",128.1988889,35.2225,309149.979969809,292438.298326209
"32","HT_NG2",128.2952778,35.31333333,317794.385093209,302626.898539899
"33","HT_NG3",128.4291667,35.39083333,329847.101173163,311393.566698141
"34","HM15",128.4836111,35.38333333,334806.495317575,310634.207284653
"35","HM16",128.6008333,35.39555556,345436.683052224,312156.476882777
"36","HT_MR1",128.7788889,35.49444444,361417.141451554,323406.275906022
"37","HM17",128.8216667,35.3825,365528.323681419,311054.967110675
"38","HM18",128.9936111,35.20361111,381553.530113877,291505.301877167
