"","River.Type","New.Code.Name","Lon","Lat","longitude","latitude"
"1","M","M1",128.764309,36.580385,357910.14004982,443895.895898105
"2","T","T1",128.751342,36.551131,356808.596211056,440627.92111824
"3","M","M2",128.59548,36.552348,342849.947036958,440520.163277369
"4","M","M3",128.297678,36.564777,316166.395876974,441498.474638786
"5","T","T2",128.305569,36.589986,316834.828426005,444305.685384802
"6","T","T3a",128.214847,36.591133,308714.176586625,444326.51224918
"7","T","T3b",128.261609,36.5336,312982.76885992,437995.572071588
"8","Weir","W1",128.249346,36.433308,312028.835715972,426851.260170716
"9","T","T4",128.235276,36.434352,310765.636901792,426950.868242927
"10","M","M4",128.304657,36.401977,317035.831933471,423439.955806335
"11","T","T5a",128.390359,36.37832,324762.073829975,420921.923419931
"12","T","T5b",128.329522,36.405566,319261.009170374,423868.682427497
"13","Weir","W2",128.305734,36.360198,317195.134518375,418804.8502462
"14","M","M5",128.294915,36.354388,316232.673849152,418147.022174307
"15","M","M6",128.342929,36.273069,320667.968277845,409181.549108231
"16","Weir","W3",128.345678,36.23685,320970.828150847,405165.647046492
"17","T","T6a",128.229094,36.188625,310557.734896233,399674.851734834
"18","T","T6b",128.335924,36.225279,320111.634651136,403869.452279913
"19","M","M7",128.387031,36.069958,324953.059874359,386697.755541784
"20","Weir","W4",128.397893,36.015612,326018.233268877,380680.982785198
"21","M","M8",128.394037,36.001264,325693.377759218,379083.812690809
"22","Weir","W5",128.46057,35.840325,331959.86872907,361312.459640882
"23","M","M9",128.462417,35.83919,332128.636019572,361189.004598114
"24","T","T7a",128.550758,35.895418,340011.82850382,367551.513670563
"25","T","T7b",128.471937,35.853067,332965.650981009,362741.803982718
"26","M","M10",128.387692,35.753365,325511.781037886,351567.036713002
"27","Weir","W6",128.416634,35.73404,328160.629082097,349460.076558891
"28","M","M11",128.434345,35.708204,329804.932802708,346616.472682576
"29","M","M12",128.391562,35.622408,326067.760706731,337040.515985544
"30","T","T8a",128.337615,35.678794,321095.019358382,343229.424842656
"31","T","T8b",128.364784,35.615018,323653.050633798,336186.509899809
"32","Weir","W7",128.355934,35.590751,322888.273406705,333482.711860279
"33","T","T9a",128.292508,35.572036,317166.913292996,331328.748289619
"34","T","T9b",128.341837,35.572103,321638.788061614,331395.998384416
"35","M","M13",128.378425,35.440104,325160.423375029,316795.149002572
"36","T","T10a",128.272233,35.256161,315779.920123087,296256.194913228
"37","T","T10b",128.432219,35.391206,330123.838620732,311438.929444341
"38","M","M14",128.473723,35.380826,333912.103667699,310342.563986946
"39","Weir","W8",128.551947,35.379974,341022.093760869,310356.726282628
"40","T","T11a",128.763881,35.471011,360101.658185555,320781.487228436
"41","T","T11b",128.794059,35.411624,362960.801581842,314240.884811007
"42","M","M15",128.828872,35.382701,366182.704812162,311089.353932257
