"","Station_Code","Lon","Lat","longitude","latitude"
"1","136","128.7073","36.5729",352821.995915174,442973.020377307
"2","137","128.1574","36.4084",303816.84810791,423984.271276508
"3","176","128.6522","35.8782",349203.709172335,365790.953021822
"4","192","128.04","35.1638",294751.881402538,285762.48012888
"5","263","128.2881","35.3226",317128.223391462,303646.580746351
"6","271","128.9145","36.9436",370547.520308551,484466.762605829
"7","272","128.5169","36.8718",335252.615069975,475860.207572606
"8","273","128.1488","36.6273",302755.528815587,448267.526064268
"9","276","129.0401","36.4351",382938.707473281,428259.454748206
"10","278","128.6886","36.3561",351569.565455703,418882.574347045
"11","279","128.3206","36.1306",318876.768814971,393343.919008183
"12","281","128.9514","35.9774",376006.242346058,377298.15703996
"13","284","127.909","35.6674",282302.668540936,341521.40380203
"14","285","128.1699","35.565",306061.140975036,330409.07900332
"15","288","128.7441","35.4915",358265.8346404,323023.167779429
"16","289","127.8791","35.413",279847.157319183,313269.875463784
